; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404345507840,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600864217,"CurrentTimeLocal","Wed Sep 23 14:30:17 2020","Hostname","csk092.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.6e-05
; "Time_ContextDestroy [ms]", 4.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,0,0,"Success",0.008344,8.623499,7.9914,0.884519,1.180886,0.193407,0.270443,0.302887,19.45603,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,1,0,"Success",0.007961,9.173206,8.938554,0.814604,0.316092,0.177207,0.232765,0.132584,19.793407,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,2,0,"Success",0.003371,9.068714,8.908021,0.287482,0.319384,0.175729,0.232969,0.144793,19.140857,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,3,0,"Success",0.003578,9.072231,8.66143,0.279106,0.292593,0.174628,0.242722,0.123474,18.850196,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,4,0,"Success",0.003429,9.078889,8.660521,0.281088,0.31254,0.175678,0.232592,0.143942,18.889082,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,5,0,"Success",0.003623,9.059432,8.679052,0.283702,0.3138,0.174892,0.230567,0.123547,18.869105,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,6,0,"Success",0.003481,9.084652,8.654429,0.282352,0.310443,0.174635,0.234302,0.141568,18.88623,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,7,0,"Success",0.00357,9.071383,8.679019,0.282941,0.305704,0.17533,0.228832,0.124934,18.872062,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,8,0,"Success",0.003459,9.077955,8.649059,0.285651,0.307851,0.175826,0.232421,0.145118,18.877741,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,9,0,"Success",0.003621,9.063845,8.671673,0.28156,0.297258,0.174479,0.227381,0.124769,18.844961,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,10,0,"Success",0.003434,9.077827,8.666814,0.282777,0.310745,0.174906,0.234738,0.142889,18.89451,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,11,0,"Success",0.003548,9.065236,8.677564,0.282664,0.306446,0.173415,0.227232,0.123393,18.859874,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,12,0,"Success",0.003451,9.068353,8.652454,0.28251,0.310034,0.176314,0.230448,0.145377,18.869324,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,13,0,"Success",0.003627,9.071651,8.700596,0.284172,0.309963,0.174702,0.230799,0.123258,18.899146,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,14,0,"Success",0.003382,9.071466,8.64546,0.283557,0.309434,0.175501,0.233021,0.143582,18.865786,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,15,0,"Success",0.003594,9.071786,8.673993,0.278821,0.306978,0.175744,0.232198,0.122906,18.866406,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,16,0,"Success",0.003523,9.071111,8.656543,0.283349,0.314035,0.175458,0.229963,0.144567,18.878915,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,17,0,"Success",0.003574,9.061101,8.677495,0.28238,0.31258,0.175121,0.227291,0.122606,18.862495,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,18,0,"Success",0.003351,9.074848,8.667629,0.28139,0.310707,0.175088,0.229119,0.146829,18.889338,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,19,0,"Success",0.00353,9.064389,8.68338,0.284411,0.311134,0.175186,0.228614,0.123894,18.874935,2041200,0,2025000,1.2852379761e-16,0
